Year;Month;Day;Hour;Minute;Temperature[2mabovegnd];TotalPrecipitation(highresolution)[sfc];WindSpeed[10mabovegnd];WindDirection[10mabovegnd]
2020;03;05;20;00;25.00;0.00;11.88;270.00
2020;03;05;21;00;25.00;0.00;10.44;270.00
2020;03;05;22;00;24.70;0.00;9.06;276.84
2020;03;05;23;00;24.32;0.00;7.52;286.70
2020;03;06;00;00;23.98;0.00;6.70;306.25
2020;03;06;01;00;24.17;0.00;6.13;319.76
2020;03;06;02;00;24.46;0.00;6.13;319.76
2020;03;06;03;00;24.43;0.00;5.86;317.49
2020;03;06;04;00;24.40;0.00;5.09;315.00
2020;03;06;05;00;24.41;0.00;3.71;330.95
2020;03;06;06;00;24.00;0.00;4.21;199.98
2020;03;06;07;00;24.09;0.00;5.05;184.09
2020;03;06;08;00;25.24;0.00;6.29;203.63
2020;03;06;09;00;26.46;0.00;9.73;231.01
2020;03;06;10;00;27.53;0.00;12.10;247.25
2020;03;06;11;00;28.28;0.00;16.28;251.97
2020;03;06;12;00;28.73;0.00;18.67;250.87
2020;03;06;13;00;28.99;0.00;19.26;249.19
2020;03;06;14;00;28.94;0.00;20.15;251.24
2020;03;06;15;00;28.69;0.00;20.15;251.24
2020;03;06;16;00;28.19;0.00;19.35;251.57
2020;03;06;17;00;27.50;0.00;17.65;253.41
2020;03;06;18;00;26.56;0.00;14.83;264.43
2020;03;06;19;00;25.92;0.00;11.89;271.74
2020;03;06;20;00;25.59;0.00;11.18;273.69
2020;03;06;21;00;25.39;0.00;10.09;272.05
2020;03;06;22;00;25.03;0.00;9.00;270.00
2020;03;06;23;00;24.62;0.00;7.92;270.00
2020;03;07;00;00;24.41;0.00;6.16;276.71
2020;03;07;01;00;24.21;0.00;4.90;306.03
2020;03;07;02;00;23.73;0.00;5.48;336.80
2020;03;07;03;00;22.92;0.00;7.07;345.26
2020;03;07;04;00;22.94;0.00;7.07;345.26
2020;03;07;05;00;22.29;0.00;7.21;2.86
2020;03;07;06;00;22.40;0.00;7.42;22.83
2020;03;07;07;00;22.76;0.00;7.65;41.19
2020;03;07;08;00;24.64;0.00;7.57;25.35
2020;03;07;09;00;25.66;0.00;6.16;6.71
2020;03;07;10;00;26.81;0.00;3.55;336.04
2020;03;07;11;00;27.84;0.00;5.80;277.13
2020;03;07;12;00;28.61;0.00;10.80;270.00
2020;03;07;13;00;28.87;0.00;15.50;272.66
2020;03;07;14;00;28.66;0.00;18.58;278.91
2020;03;07;15;00;28.22;0.00;19.49;281.73
2020;03;07;16;00;27.54;0.00;19.21;282.99
2020;03;07;17;00;26.63;0.00;17.90;285.15
2020;03;07;18;00;25.31;0.00;15.98;292.52
2020;03;07;19;00;24.15;0.00;12.68;304.59
2020;03;07;20;00;23.60;0.00;10.44;313.60
2020;03;07;21;00;23.26;0.00;8.71;330.26
2020;03;07;22;00;22.66;0.00;8.67;355.24
2020;03;07;23;00;21.89;0.00;9.03;4.57
2020;03;08;00;00;21.20;0.00;8.91;14.04
2020;03;08;01;00;20.52;0.00;9.36;22.62
2020;03;08;02;00;19.89;0.00;9.50;24.62
2020;03;08;03;00;19.30;0.00;9.66;26.57
2020;03;08;04;00;18.77;0.00;9.83;28.44
2020;03;08;05;00;18.29;0.00;10.32;29.25
2020;03;08;06;00;18.60;0.00;6.92;51.34
2020;03;08;07;00;19.35;0.00;6.37;47.29
2020;03;08;08;00;21.97;0.00;6.44;26.57
2020;03;08;09;00;24.60;0.00;9.01;357.71
2020;03;08;10;00;26.82;0.00;10.79;334.29
2020;03;08;11;00;28.39;0.00;12.73;315.00
2020;03;08;12;00;29.14;0.00;16.10;296.57
2020;03;08;13;00;28.83;0.00;21.75;294.44
2020;03;08;14;00;28.23;0.00;25.12;297.30
2020;03;08;15;00;27.93;0.00;24.63;296.94
2020;03;08;16;00;27.42;0.00;23.54;293.43
2020;03;08;17;00;26.44;0.00;21.42;294.84
2020;03;08;18;00;25.23;0.00;15.03;286.70
2020;03;08;19;00;24.42;0.00;12.77;291.50
2020;03;08;20;00;24.06;0.00;10.63;298.30
2020;03;08;21;00;23.79;0.00;8.40;313.26
2020;03;08;22;00;23.28;0.00;6.61;330.64
2020;03;08;23;00;22.83;0.00;4.10;344.74
2020;03;09;00;00;22.45;0.00;3.98;354.81
2020;03;09;01;00;21.97;0.00;5.05;355.91
2020;03;09;02;00;21.41;0.00;6.12;360.00
2020;03;09;03;00;20.89;0.00;6.88;6.01
2020;03;09;04;00;20.45;0.00;6.73;15.52
2020;03;09;05;00;20.11;0.00;6.49;33.69
2020;03;09;06;00;20.24;0.00;3.83;41.19
2020;03;09;07;00;20.81;0.00;3.60;53.13
2020;03;09;08;00;23.16;0.00;1.80;360.00
2020;03;09;09;00;25.36;0.00;6.64;310.60
2020;03;09;10;00;26.99;0.00;8.79;304.99
2020;03;09;11;00;28.50;0.00;10.64;293.96
2020;03;09;12;00;29.47;0.00;13.71;283.67
2020;03;09;13;00;29.84;0.00;16.87;281.07
2020;03;09;14;00;29.70;0.00;19.56;282.76
2020;03;09;15;00;29.21;0.00;21.31;285.68
2020;03;09;16;00;28.41;0.00;22.21;286.97
2020;03;09;17;00;27.46;0.00;21.29;288.74
2020;03;09;18;00;26.37;0.00;15.79;294.23
2020;03;09;19;00;25.71;0.00;13.22;299.36
2020;03;09;20;00;25.43;0.00;11.38;304.70
2020;03;09;21;00;25.31;0.00;9.69;311.99
2020;03;09;22;00;24.89;0.00;7.49;324.78
2020;03;09;23;00;24.44;0.00;5.48;336.80
2020;03;10;00;00;23.97;0.00;4.33;4.76
2020;03;10;01;00;23.47;0.00;4.10;15.26
2020;03;10;02;00;23.04;0.00;3.32;12.53
2020;03;10;03;00;22.77;0.00;3.24;360.00
2020;03;10;04;00;22.64;0.00;3.26;6.34
2020;03;10;05;00;22.51;0.00;3.89;33.69
2020;03;10;06;00;22.51;0.00;3.56;45.00
2020;03;10;07;00;23.08;0.00;4.90;36.03
2020;03;10;08;00;25.05;0.00;4.45;14.04
2020;03;10;09;00;26.73;0.00;9.73;321.01
2020;03;10;10;00;27.91;0.00;13.32;308.42
2020;03;10;11;00;28.60;0.00;17.07;294.94
2020;03;10;12;00;27.67;0.00;19.39;291.80
2020;03;10;13;00;27.32;0.00;20.12;296.57
2020;03;10;14;00;26.81;0.00;19.34;298.95
2020;03;10;15;00;26.74;0.00;16.90;296.57
2020;03;10;16;00;27.45;0.00;14.35;287.53
2020;03;10;17;00;26.98;0.00;13.28;282.53
2020;03;10;18;00;26.06;0.00;11.97;285.71
2020;03;10;19;00;25.15;0.00;9.69;291.80
2020;03;10;20;00;24.65;0.00;8.37;295.46
2020;03;10;21;00;24.34;0.00;7.57;295.35
2020;03;10;22;00;24.07;0.00;6.76;295.20
2020;03;10;23;00;23.75;0.00;6.15;290.56
